Province,Year,Gender,Area_Type,Percentage
Bengkulu,2011,Female,Urban,31.38
Bengkulu,2011,Female,Rural,29.61
Bengkulu,2011,Female,Urban+Rural,30.83
Bengkulu,2012,Male,Urban,28.57
Bengkulu,2012,Male,Rural,27.91
Bengkulu,2012,Male,Urban+Rural,28.11
Bengkulu,2012,Female,Urban,29.91
Bengkulu,2012,Female,Rural,28.78
Bengkulu,2012,Female,Urban+Rural,29.14
Bengkulu,2013,Male,Urban,25.26727067
Bengkulu,2013,Male,Rural,28.28288158
Bengkulu,2013,Male,Urban+Rural,27.35464195
Bengkulu,2013,Female,Urban,28.11586677
Bengkulu,2013,Female,Rural,29.00015596
Bengkulu,2013,Female,Urban+Rural,28.71794007
Bengkulu,2014,Male,Urban,26.9752664
Bengkulu,2014,Male,Rural,31.43993719
Bengkulu,2014,Male,Urban+Rural,30.0676569
Bengkulu,2014,Female,Urban,26.22387384
Bengkulu,2014,Female,Rural,31.5278878
Bengkulu,2014,Female,Urban+Rural,29.83947454
Bengkulu,2015,Male,Urban,24.68058975
Bengkulu,2015,Male,Rural,28.47613452
Bengkulu,2015,Male,Urban+Rural,27.31971825
Bengkulu,2015,Female,Urban,26.59013353
Bengkulu,2015,Female,Rural,29.57604044
Bengkulu,2015,Female,Urban+Rural,28.63179815
Bengkulu,2016,Male,Urban,28.47612989
Bengkulu,2016,Male,Rural,27.27215344
Bengkulu,2016,Male,Urban+Rural,27.64610365
